bus_code,hour,scen,powerConsumption
64,5,1,0.035999995591410386
64,6,1,0.035999995647331806
64,7,1,0.03599999683186017
64,8,1,0.03599999989136922
64,9,1,0.036
64,10,1,0.036
64,11,1,0.0359999999797795
64,12,1,0.036
64,13,1,0.035999999912499234
64,14,1,0.036
64,15,1,0.036
64,16,1,0.03599999994291632
64,17,1,0.036
64,18,1,0.035999995917471994
64,19,1,0.03599999559128911
64,20,1,0.035999995586947914
64,21,1,0.03599999558847959
64,22,1,0.03599999559803353
64,23,1,0.03599999559233297
64,24,1,0.03599999559833568
65,1,1,0.06842125137204975
65,2,1,0.06842128764476459
65,3,1,0.06842127432672532
65,4,1,0.06842128577338275
65,5,1,0.06842125635093632
65,6,1,0.06922054866132261
65,7,1,0.09884904019438001
65,8,1,0.1049999998883073
65,9,1,0.10499999967911651
65,10,1,0.10499999990799469
65,11,1,0.105
65,12,1,0.105
65,13,1,0.10499999987295
65,14,1,0.105
65,15,1,0.1049999999962234
65,16,1,0.105
65,17,1,0.105
65,18,1,0.07335903525590708
65,19,1,0.06842124776456968
65,20,1,0.06842126141687432
65,21,1,0.06842126202785866
65,22,1,0.06842126385501791
65,23,1,0.06842124928716191
65,24,1,0.06842125325311088
67,1,1,0.08499999994924697
67,2,1,0.08499999995130607
67,3,1,0.08499999995237234
67,4,1,0.08499999994939043
67,5,1,0.08499999995232975
67,6,1,0.084999999952567
67,7,1,0.08499999995072025
67,8,1,0.08499999995212028
67,9,1,0.08499999995174726
67,10,1,0.08499999995176187
67,11,1,0.08499999995277073
67,12,1,0.08499999995276401
67,13,1,0.08499999995224763
67,14,1,0.08499999995272142
67,15,1,0.0849999999517311
67,16,1,0.08499999995240058
67,17,1,0.0849999999523093
67,18,1,0.08499999995101618
67,19,1,0.08499999995235233
67,20,1,0.0849999999488804
67,21,1,0.08499999994932363
67,22,1,0.08499999995243701
67,23,1,0.08499999994933356
67,24,1,0.08499999995231758
68,1,1,0.006
