circuit_code,hour,scen,flow
3,18,1,-0.174816380186924
3,18,2,-0.17481393799196074
3,18,3,-0.1748141226253313
3,18,4,-0.1752237846911636
3,18,5,-0.1748155461852318
3,18,6,-0.17547786297513887
3,18,7,-0.17481401887831463
3,18,8,-0.17501678823923814
3,18,9,-0.17481397226608444
3,18,10,-0.17542255447520566
3,19,1,-0.17481638012877096
3,19,2,-0.17481393804104306
3,19,3,-0.17481414219744892
3,19,4,-0.17522382259993513
3,19,5,-0.1748155462928528
3,19,6,-0.17547806232554145
3,19,7,-0.1748140189237068
3,19,8,-0.17501680416737486
3,19,9,-0.17481397234964516
3,19,10,-0.1754226546489784
3,20,1,-0.17481638041589792
3,20,2,-0.17481393802160758
3,20,3,-0.17481414230957126
3,20,4,-0.17522387638105177
3,20,5,-0.17481554661955714
3,20,6,-0.17547822221751394
3,20,7,-0.17481401892583676
3,20,8,-0.17501682760259196
3,20,9,-0.1748139722966934
3,20,10,-0.17542270919721095
3,21,1,-0.17481638073592362
3,21,2,-0.17481393811233878
3,21,3,-0.1748141423404174
3,21,4,-0.17522398091166366
3,21,5,-0.17481554672405775
3,21,6,-0.17547853818177642
3,21,7,-0.1748140189106671
3,21,8,-0.17501687481342704
3,21,9,-0.1748139723278657
3,21,10,-0.17542292415691665
3,22,1,-0.17481638048800457
3,22,2,-0.17481393808509155
3,22,3,-0.1748141424635765
3,22,4,-0.1752241097209145
3,22,5,-0.1748155468787315
3,22,6,-0.1754788195079375
3,22,7,-0.17481401894947834
3,22,8,-0.17501688955869094
3,22,9,-0.1748139723494168
3,22,10,-0.17542302445506253
3,23,1,-0.17481833390869547
3,23,2,-0.17481393804715042
3,23,3,-0.1748141425048484
3,23,4,-0.1752244050403749
3,23,5,-0.17481554731080876
3,23,6,-0.17547946514984103
3,23,7,-0.17481401890345255
3,23,8,-0.1750169700650472
3,23,9,-0.17481397227920362
3,23,10,-0.17542352305404005
3,24,1,-0.17481833466912566
3,24,2,-0.17481393852861687
3,24,3,-0.17481414312825738
3,24,4,-0.17522483479626422
3,24,5,-0.17481554709885191
3,24,6,-0.17548061207869625
3,24,7,-0.17481401904347396
3,24,8,-0.17501710787817437
3,24,9,-0.1748139620544324
3,24,10,-0.17542432634439037
4,1,1,3.6798307384885795e-7
4,1,2,8.816095029259934e-9
4,1,3,3.620880894403548e-8
4,1,4,5.424715595916568e-5
4,1,5,2.451053937684688e-7
4,1,6,8.470873637627752e-5
4,1,7,1.636036392820044e-8
4,1,8,2.805439451200389e-5
4,1,9,1.4483695770796663e-8
4,1,10,7.873907372423661e-5
4,2,1,3.678728771263731e-7
4,2,2,9.287349369314218e-9
4,2,3,3.6201177550837074e-8
4,2,4,5.431752819595721e-5
4,2,5,2.4513866368867834e-7
4,2,6,8.475528404578986e-5
4,2,7,2.0594624965538176e-8
4,2,8,2.8044226675213245e-5
4,2,9,1.4487273516930368e-8
4,2,10,7.86361715585069e-5
4,3,1,3.6792523223065697e-7
4,3,2,9.289884915974216e-9
4,3,3,3.620432533009413e-8
4,3,4,5.435934517419163e-5
4,3,5,2.451561001502947e-7
4,3,6,8.481635651575048e-5
4,3,7,2.060532195801389e-8
4,3,8,2.804386631279869e-5
4,3,9,1.4483751377795135e-8
4,3,10,7.865912632324305e-5
4,4,1,3.6794928356699433e-7
4,4,2,9.28351746520045e-9
4,4,3,3.6206051579034886e-8
4,4,4,5.438544917175893e-5
4,4,5,2.451773627343701e-7
4,4,6,8.486490996985625e-5
4,4,7,2.1288658862219474e-8
4,4,8,2.8048452943758214e-5
4,4,9,1.4481535209603768e-8
4,4,10,7.866464961566695e-5
4,5,1,3.679361996223837e-7
4,5,2,9.288733425113381e-9
4,5,3,3.6203536660427515e-8
4,5,4,5.440357316995505e-5
4,5,5,2.452188511762205e-7
4,5,6,8.492373603357815e-5
4,5,7,2.1291000867515897e-8
4,5,8,2.805244243157296e-5
4,5,9,1.4476130511942341e-8
4,5,10,7.867988294117103e-5
4,6,1,3.6795857255738757e-7
4,6,2,9.461163384876426e-9
4,6,3,3.6204387108417185e-8
4,6,4,5.442058327161073e-5
4,6,5,2.4524434115466627e-7
4,6,6,8.49798346977286e-5
4,6,7,2.1295770491696396e-8
4,6,8,2.805482273961937e-5
4,6,9,1.447894481281119e-8
4,6,10,7.868841612129892e-5
4,7,1,3.679430759637848e-7
4,7,2,9.456613740439968e-9
4,7,3,3.620840197230063e-8
4,7,4,5.4435178423269835e-5
4,7,5,2.4531448298929507e-7
4,7,6,8.502584464120514e-5
4,7,7,2.129706903716785e-8
4,7,8,2.8056199425118126e-5
4,7,9,1.4484313491315967e-8
4,7,10,7.869067216095044e-5
4,8,1,3.679627150298116e-7
4,8,2,9.460076179387033e-9
4,8,3,3.62106601823204e-8
4,8,4,5.444419739903555e-5
4,8,5,2.453672095256262e-7
4,8,6,8.507079231136351e-5
4,8,7,2.130084943069729e-8
4,8,8,2.805847872034933e-5
4,8,9,1.4482066474500113e-8
4,8,10,7.868062415724363e-5
4,9,1,3.6798663323794793e-7
4,9,2,9.460436789414155e-9
4,9,3,3.6207360908830575e-8
4,9,4,5.4455649908764486e-5
4,9,5,2.454017912424207e-7
4,9,6,8.511267073163853e-5
4,9,7,2.129606352119321e-8
4,9,8,2.8066225430677772e-5
4,9,9,1.4479421211352022e-8
4,9,10,7.868798121405948e-5
4,10,1,3.6799347830232614e-7
4,10,2,9.464927779367251e-9
4,10,3,3.6212055836352816e-8
4,10,4,5.446452766361745e-5
4,10,5,2.454213151261949e-7
4,10,6,8.514329881345553e-5
4,10,7,2.1297255184503222e-8
4,10,8,2.8060690807727755e-5
4,10,9,1.4484935982378733e-8
4,10,10,7.868398000885401e-5
4,11,1,3.679941093437509e-7
4,11,2,9.462642528395767e-9
4,11,3,3.6211850037833566e-8
4,11,4,5.447189393467062e-5
4,11,5,2.4544473161544754e-7
4,11,6,8.517890153468827e-5
4,11,7,2.1301136440591047e-8
4,11,8,2.8061765435413892e-5
4,11,9,1.4485191148581972e-8
4,11,10,7.869165537610131e-5
4,12,1,3.679982784073761e-7
4,12,2,9.508603909947069e-9
4,12,3,3.621027171247182e-8
4,12,4,5.447907460481835e-5
4,12,5,2.4547850099242463e-7
4,12,6,8.520876102742088e-5
4,12,7,2.130266994843826e-8
4,12,8,2.8063270021522854e-5
4,12,9,1.4483791355224138e-8
4,12,10,7.87021010814783e-5
4,13,1,3.6800911809287907e-7
4,13,2,9.512053810321331e-9
4,13,3,3.6211114449006444e-8
4,13,4,5.448384782500301e-5
4,13,5,2.455162950015564e-7
4,13,6,8.52358909544046e-5
4,13,7,2.1305154666873742e-8
4,13,8,2.8064948186306704e-5
4,13,9,1.4484144028434873e-8
4,13,10,7.871612565596885e-5
4,14,1,3.680226088219542e-7
4,14,2,9.513326515898665e-9
4,14,3,3.6213499700766496e-8
4,14,4,5.4485971428734936e-5
4,14,5,2.4560544125243135e-7
4,14,6,8.525734651755942e-5
4,14,7,2.1305828288899417e-8
4,14,8,2.806811776144964e-5
4,14,9,1.448260509514097e-8
4,14,10,7.87313463554183e-5
4,15,1,3.68029218049885e-7
4,15,2,9.514230467018839e-9
4,15,3,3.620940100388103e-8
4,15,4,5.4486743425277745e-5
4,15,5,2.4565505256021265e-7
4,15,6,8.52817188849071e-5
4,15,7,2.1310947834910345e-8
4,15,8,2.8069252148335474e-5
4,15,9,1.4482208198971436e-8
4,15,10,7.874929475297398e-5
4,16,1,3.6803908914929113e-7
4,16,2,9.518219287003664e-9
4,16,3,3.621201821014265e-8
4,16,4,5.4489716398818455e-5
4,16,5,2.4568995781675155e-7
4,16,6,8.52988920362128e-5
4,16,7,2.1306336816747457e-8
4,16,8,2.8072980451732885e-5
4,16,9,1.4484707189109676e-8
4,16,10,7.875988429189799e-5
4,17,1,3.68070782993293e-7
4,17,2,9.516228042493681e-9
4,17,3,3.621609743171504e-8
4,17,4,5.450002616521778e-5
4,17,5,2.457188279979084e-7
4,17,6,8.532513535428135e-5
4,17,7,2.131377545536568e-8
