circuit_code,hour,scen,losses
98,7,9,9.26728673674394e-6
98,7,10,0.0010760799109799843
98,8,1,9.267301074922778e-6
98,8,2,0.0007701403457819536
98,8,3,9.26729514052828e-6
98,8,4,9.267296190134188e-6
98,8,5,9.267294256585047e-6
98,8,6,9.267300525493323e-6
98,8,7,9.267314281130203e-6
98,8,8,9.267255814111916e-6
98,8,9,9.267286751238317e-6
98,8,10,0.0010924665248912314
98,9,1,9.26730150324973e-6
98,9,2,9.26729590541443e-6
98,9,3,9.267303462619199e-6
98,9,4,9.267300503518949e-6
98,9,5,9.267304939110996e-6
98,9,6,9.26730094167246e-6
98,9,7,9.267313877410279e-6
98,9,8,9.267275120852362e-6
98,9,9,9.267295825813525e-6
98,9,10,9.26732088316284e-6
98,10,1,9.26730842576989e-6
98,10,2,9.267317240134693e-6
98,10,3,9.267308366646296e-6
98,10,4,9.267307429891936e-6
98,10,5,9.267309215944568e-6
98,10,6,9.267299214643649e-6
98,10,7,9.267313220595461e-6
98,10,8,9.267276008987763e-6
98,10,9,9.267308483850675e-6
98,10,10,9.267313107279683e-6
98,11,1,9.2673143735655e-6
98,11,2,9.267315909256009e-6
98,11,3,9.267315930765911e-6
98,11,4,9.267304837949172e-6
98,11,5,9.26731506541067e-6
98,11,6,9.267303353098933e-6
98,11,7,9.267315638678603e-6
98,11,8,9.267346712809416e-6
98,11,9,9.267315762569706e-6
98,11,10,9.26731063390988e-6
98,12,1,9.267315456588975e-6
98,12,2,9.267311572422577e-6
98,12,3,9.267316165740291e-6
98,12,4,9.267304834292895e-6
98,12,5,9.267315779435223e-6
98,12,6,9.267316243171564e-6
98,12,7,9.26731683463165e-6
98,12,8,9.267316688869213e-6
98,12,9,9.267316009180774e-6
98,12,10,9.267317062152511e-6
98,13,1,9.267315461144895e-6
98,13,2,9.267319274494802e-6
98,13,3,9.267316179085681e-6
98,13,4,9.267312995943707e-6
98,13,5,9.267314694888e-6
98,13,6,9.267317758674705e-6
98,13,7,9.26731682203477e-6
98,13,8,9.267315621371293e-6
98,13,9,9.267316003933844e-6
98,13,10,9.267317120377802e-6
98,14,1,9.267315334785928e-6
98,14,2,9.26731718265782e-6
98,14,3,9.267315838209093e-6
98,14,4,9.267305545243874e-6
98,14,5,9.26731505382642e-6
98,14,6,9.267315608383559e-6
98,14,7,9.26731760446026e-6
98,14,8,9.267332747477537e-6
98,14,9,9.267315664998377e-6
98,14,10,9.267318099512164e-6
98,15,1,9.267311547323956e-6
98,15,2,9.267317134878028e-6
98,15,3,9.267310248892343e-6
98,15,4,9.267309424703328e-6
98,15,5,9.26730245213005e-6
98,15,6,9.267310188771812e-6
98,15,7,9.267310917538199e-6
98,15,8,9.267480743411591e-6
98,15,9,9.267311926135586e-6
98,15,10,9.26731554688624e-6
98,16,1,9.267303461349783e-6
98,16,2,9.267413346807075e-6
98,16,3,9.26730460639411e-6
98,16,4,9.267304149549331e-6
98,16,5,9.267303777705523e-6
98,16,6,9.267304144544087e-6
98,16,7,9.267305935592233e-6
98,16,8,9.267327015655021e-6
98,16,9,9.267292263576943e-6
98,16,10,9.267317661602968e-6
98,17,1,9.267276090598369e-6
98,17,2,9.267297343298566e-6
98,17,3,9.267304061155663e-6
98,17,4,9.267277435400646e-6
98,17,5,9.267299036737732e-6
98,17,6,9.267286679379228e-6
98,17,7,9.267305938053894e-6
98,17,8,9.267327088026041e-6
98,17,9,9.267292239889206e-6
98,17,10,9.269316491931606e-6
98,18,1,9.26726984382307e-6
98,18,2,0.002098207772811366
98,18,3,9.267304694412961e-6
98,18,4,9.267277366567192e-6
98,18,5,9.267299267572545e-6
98,18,6,9.267286880316075e-6
98,18,7,9.267379957221901e-6
98,18,8,9.267320976913986e-6
98,18,9,9.267286260352622e-6
98,18,10,9.26877434979511e-6
98,19,1,9.267269595781302e-6
98,19,2,0.002066791942583264
98,19,3,9.267302502582348e-6
98,19,4,9.267273520321004e-6
98,19,5,9.26729530014037e-6
98,19,6,9.267287176926138e-6
98,19,7,9.267306523836e-6
98,19,8,0.004119776328847117
98,19,9,9.267271386162721e-6
98,19,10,0.0008479495435507939
98,20,1,9.267254475436906e-6
98,20,2,9.267312669505202e-6
98,20,3,9.267297254335483e-6
98,20,4,9.267271933331524e-6
98,20,5,9.267296323989388e-6
98,20,6,9.267287551548683e-6
98,20,7,9.26731636493616e-6
98,20,8,9.267241758657355e-6
98,20,9,9.267269672031697e-6
98,20,10,9.269671687862557e-6
98,21,1,9.267281719947754e-6
98,21,2,9.26731617074446e-6
98,21,3,9.267300546833498e-6
98,21,4,9.267274919289678e-6
98,21,5,9.267301094977699e-6
98,21,6,0.0013955794612250708
98,21,7,0.0013512158843875844
98,21,8,9.267243637810428e-6
98,21,9,9.267269046701718e-6
98,21,10,9.269595367631903e-6
98,22,1,9.26728168036953e-6
98,22,2,9.267248285253584e-6
98,22,3,9.267300469027662e-6
98,22,4,9.267284224409553e-6
98,22,5,9.267301133558752e-6
98,22,6,0.0014167473965575367
98,22,7,0.0013619753903375167
98,22,8,9.267256964661375e-6
98,22,9,9.267284409760575e-6
98,22,10,0.0036182047347576253
98,23,1,9.267280076293486e-6
98,23,2,9.26725564841513e-6
98,23,3,9.267296147136136e-6
98,23,4,9.267284050269542e-6
98,23,5,9.267291831466966e-6
98,23,6,0.0007260321842286707
98,23,7,9.267435375166365e-6
98,23,8,0.004868761101237559
98,23,9,9.267284078116063e-6
98,23,10,0.001734101648983389
98,24,1,9.267288499635524e-6
98,24,2,9.267256158261292e-6
98,24,3,9.267296561611346e-6
98,24,4,0.007247761111254365
98,24,5,9.267290363378725e-6
98,24,6,9.267291725364451e-6
98,24,7,9.26729176358461e-6
98,24,8,9.267254308089537e-6
98,24,9,9.267288780626387e-6
98,24,10,9.270501560159358e-6
99,1,1,8.027692435225046e-5
99,1,2,8.027693458683704e-5
99,1,3,8.027692444357567e-5
99,1,4,0.00010231159801256044
99,1,5,1.036718698013115e-6
99,1,6,1.4605955557592216e-7
99,1,7,8.02769255814054e-5
99,1,8,0.00906210742420792
99,1,9,8.027692244718252e-5
99,1,10,6.9337641939434884e-6
99,2,1,8.027692318871448e-5
99,2,2,8.027693460772483e-5
99,2,3,0.00013708707467584134
99,2,4,0.0001531871983744668
99,2,5,8.027692303168598e-5
99,2,6,8.027692337628056e-5
99,2,7,3.4582917017117303e-6
99,2,8,0.0013463750555588816
99,2,9,8.027692268018914e-5
99,2,10,8.027693079350773e-5
99,3,1,0.00010071843692460272
99,3,2,8.02769328972813e-5
99,3,3,8.027692364968189e-5
99,3,4,8.027692478484858e-5
99,3,5,0.00011004591993500492
99,3,6,0.00014741225152232757
99,3,7,8.027692769612214e-5
99,3,8,0.003898774088214075
99,3,9,0.00016171250409683646
99,3,10,8.027692717253603e-5
99,4,1,8.027692486887094e-5
99,4,2,8.027693506324466e-5
99,4,3,0.00014626294512729964
99,4,4,0.00016207466027885363
99,4,5,7.975025287690087e-7
99,4,6,8.027692340670161e-5
99,4,7,1.2710476721801678e-5
99,4,8,0.0008887396836580857
99,4,9,2.2317563314193165e-6
99,4,10,7.715122515821506e-6
99,5,1,9.762525300526481e-5
99,5,2,1.0659303979288214e-5
99,5,3,4.123540382823469e-7
99,5,4,1.6814509831785495e-6
99,5,5,8.027692294411221e-5
99,5,6,8.027692509279809e-5
99,5,7,3.1027177755687434e-5
99,5,8,0.007342801925771719
99,5,9,1.6436777317433824e-6
99,5,10,8.537488425890058e-6
99,6,1,3.8358036087045413e-7
99,6,2,8.027693488221247e-5
99,6,3,1.2891875347786708e-6
99,6,4,3.060979598358169e-6
99,6,5,8.027692488960182e-5
99,6,6,1.0383949485641632e-5
99,6,7,1.701513093173741e-5
99,6,8,0.005166576367807543
99,6,9,8.027692175182506e-5
99,6,10,0.0006267909117438906
99,7,1,8.027692340079296e-5
99,7,2,1.5326916394356285e-5
99,7,3,4.42107432611427e-6
99,7,4,5.2815447196094285e-5
99,7,5,8.027692352228358e-5
99,7,6,1.0259400668909618e-6
99,7,7,2.402118373935511e-7
99,7,8,0.007717027998021967
99,7,9,8.027692182145631e-5
99,7,10,0.0006601467889131078
99,8,1,2.7309291852010063e-6
99,8,2,0.0004783110249914252
99,8,3,8.027692377830964e-5
99,8,4,3.872478566399103e-8
99,8,5,8.027692542562827e-5
99,8,6,1.49073374793125e-5
99,8,7,4.1094147135550946e-5
99,8,8,0.0015349203243742193
99,8,9,8.02769215444431e-5
99,8,10,0.0006772662556774523
99,9,1,0.0017617890125483555
