codes,2,4
hours,bus85,bus18
2/2017,0.3776,0.3776
2/2017,0.4554,0.4554
2/2017,0.4920,0.4920
2/2017,0.4869,0.4869
2/2017,0.4455,0.4455
2/2017,0.4213,0.4213
2/2017,0.4102,0.4102
2/2017,0.3961,0.3961
2/2017,0.3701,0.3701
2/2017,0.3031,0.3031
2/2017,0.1814,0.1814
2/2017,0.1696,0.1696
2/2017,0.1915,0.1915
2/2017,0.2211,0.2211
2/2017,0.2517,0.2517
2/2017,0.2785,0.2785
2/2017,0.2978,0.2978
2/2017,0.3167,0.3167
2/2017,0.3264,0.3264
2/2017,0.3320,0.3320
2/2017,0.3306,0.3306
2/2017,0.3112,0.3112
2/2017,0.3085,0.3085
2/2017,0.3377,0.3377
2/2017,0.3883,0.3883
2/2017,0.3992,0.3992
2/2017,0.3493,0.3493
2/2017,0.3085,0.3085
2/2017,0.3071,0.3071
2/2017,0.2772,0.2772
2/2017,0.2482,0.2482
2/2017,0.2760,0.2760
2/2017,0.2926,0.2926
2/2017,0.3031,0.3031
2/2017,0.2459,0.2459
2/2017,0.2673,0.2673
2/2017,0.2874,0.2874
2/2017,0.2926,0.2926
2/2017,0.2926,0.2926
2/2017,0.2965,0.2965
2/2017,0.3208,0.3208
2/2017,0.3493,0.3493
2/2017,0.3507,0.3507
2/2017,0.3420,0.3420
