Num Graph...........................|...Unid Type  Y/N
365 Make-up withdrawl per contract   kUC        2    0
366 Carry forward cons. per contract kUC        2    0
367 Carry forward available amount   kUC        2    0
368 Carry forward credit             kUC        2    0
369 Net AC bus injection             MW         2    0
370 Accum. prod. factor to 65% U.S.  MW/m3/s    0    0
371 Max. stored energy by reservoir  GWh        0    0
372 Carry forward withdrawl per cont.kUC        2    0
373 Nominal battery capacity         MW         0    0
374 Viol. thermal minimum gen. ctr.  MW         7    0
375 Viol. cost thermal min. gen. ctr.k$         8    0
376 Renewable dispatch factor        %          2    0
377 Current renewal of fuel contract       0    0    0
378 Make-up contribution per contractkUC        2    0
379 Viol. cost sec. en. by res. set  k$         8    0
380 Viol. cost alert en. by res. set k$         8    0
381 Viol cost fl. control en. res.setk$         8    0
382 Violation of hydro outflow ramp  m3/s       7    0
383 Renewable O&M unitary cost       $/MWh      0    0
384 Perc. of stored energy by reserv.%          2    0
385 DC link quadratic losses         MW         2    0
386 Flexible load supplied           GWh        2    0
387 Flexible load curtailment        GWh        2    0
388 Maximum flexible load            GWh        0    0
389 Minimum flexible load            GWh        0    0
390 Reference flexible load          GWh        0    0
391 Flexible load curtailment cost   k$         1    0
392 Generic int. ctr. marginal cost  $/unit     3    0
393 Minimum hydro unit turbining violm3/s       7    0
394 Minimum hydro unit turbining violk$         8    0
395 Generic variable                 unit       2    0
396 Battery losses                   MWh        2    0
397 Exclusive reserve                MW         2    0
409 Circuit joint reserve            MW         2    0
410 Fuel contract availability       k.units    0    0
411 Carry forward discount per contr.kUC        2    0
412 Contract ToP billing             k$         2    0
413 Contract consumption billing     k$         2    0
414 Battery O&M unitary cost         $/MWh      0    0
415 Battery Gen. x Bus MargCost      k$         9    0
416 Battery gen. x load MargCost     k$         9    0
417 Elec.: prod. electric consum.    GWh        2    0
418 Elec.: prod. generation          kUE        2    0
419 Elec.: prod. cost                k$         1    0
420 Elec.: prod. cap. marg. cost     k$/UE/d    3    0
421 Elec.: demand supplied           kUE        2    0
422 Elec.: elastic demand cost       k$         1    0
423 Elec.: elastic demand marginal cok$/UE/d    3    0
424 Elec.: transport flow            UE         2    0
425 Elec.: transport cost            k$         1    0
426 Elec.: transport cap. marg. cost k$/UE/d    3    0
427 Elec.: final storage             kUE        2    0
428 Elec.: final stor. marg. cost    $/UE       3    0
429 Elec.: storage net inj.          kUE/h      2    0
430 Elec.: stor. net inj. marg. cost $/UE/h     3    0
432 Renewable capacity scenario      MW         0    0
433 Stored energy by reserv. set (%) %          2    0
434 Thermal non-exclusive joint res. MW         2    0
435 Hydro non-exclusive joint res.   MW         2    0
436 Battery non-exclusive joint res. MW         2    0
437 Generic int. ctr. violation      unit       7    0
438 Generic int. ctr. violation cost k$         8    0
439 CSP Generation                   MWh        2    0
440 CSP storage                      MWh        2    0
441 CSP storage marginal cost        $/MWh      3    0
442 Marginal value of stored heat    $/MWh      3    0
443 CSP charge                       MWh        2    0
444 CSP discharge                    MWh        2    0
445 CSP capacity marginal cost       $/MW       3    0
446 Dynamic line rating              pu         0    0
450 Thermal c.c. state               0/1        2    0
457 Energy lost by spillage          GWh        2    0
485 Emission budget violation        unit       7    0
490 CSP joint reserve                MW         2    0
491 CSP non-exclusive joint reserve  MW         2    0
493 Hydro tailwater elevation        m          2    0
494 Total inflows                    m3/s       0    0
528 Fuel contract min. offtake violatUC         7    0
529 Fuel contract min. offtake violatk$         8    0
532 Hydro diversion flow             m3/s       2    0
533 Min. hydro bypass flow viol.     m3/s       7    0
534 Max. hydro bypass flow viol.     m3/s       7    0
535 Min. hydro bypass flow viol. costk$         8    0
536 Max. hydro bypass flow viol. costk$         8    0
541 Hydro bypass marginal cost       k$/m3/s    3    0
543 Thermal shutdown decision        0/1        2    0
544 Elec.: demand deficit            UE         7    0
549 Renewable joint reserve          MW         2    0
550 Renewable non-exclusive joint resMW         2    0
551 Renewable joint reserve cost     k$         1    0
552 Battery O&M cost                 k$         1    0
554 Available battery capacity       MW         0    0
555 CSP scenario                     pu         0    0
556 CSP capacity scenario            MW         0    0
557 AC circuit losses error          MW         2    0
563 Generic thermal emission unit cos$/MWh      0    0
564 Generic thermal emission unit cos$/MWh      0    0
565 Generic thermal emission unit cos$/MWh      0    0
566 DC link losses error             MW         2    0
569 Marginal value of battery energy k$/MWh     3    0
570 Battery initial storage          MWh        2    0
571 Battery joint reserve price      $/MWh      1    0
572 Thermal maximum joint reserve    MW         1    0
573 Thermal joint reserve price      $/MWh      1    0
574 Hydro maximum joint reserve      MW         1    0
575 Hydro joint reserve price        $/MWh      1    0
576 Renewable maximum joint reserve  MW         1    0
577 Renewable joint reserve price    $/MWh      1    0
578 Battery maximum joint reserve    MW         1    0
579 Battery single reserve           MW         2    0
580 Interconnection joint reserve    MW         2    0
597 Renewable generation spillage notGWh        2    0
598 Inflow due to upstream plants    m3/s       2    0
599 Income of agents per exc. reservek$         1    0
600 Turbinable spilled outflow       m3/s       2    0
